product_id,category,price
1,Electronics,248.6
2,Electronics,132.83
3,Toys,232.27
4,Home,490.12
5,Toys,248.85
6,Home,167.73
7,Toys,318.53
8,Toys,123.87
9,Clothing,42.55
10,Toys,68.8
11,Books,68.38
12,Clothing,80.19
13,Toys,73.72
14,Electronics,322.23
15,Books,95.03
16,Books,176.11
17,Books,448.91
18,Clothing,239.61
19,Toys,335.44
20,Toys,90.3
21,Electronics,100.18
22,Electronics,25.23
23,Books,88.62
24,Electronics,142.9
25,Clothing,92.62
26,Toys,48.91
27,Books,64.71
28,Electronics,233.09
29,Clothing,107.14
30,Clothing,185.31
31,Electronics,254.19
32,Toys,346.75
33,Electronics,24.46
34,Books,400.71
35,Electronics,315.81
36,Clothing,45.47
37,Electronics,437.42
38,Toys,460.83
39,Home,35.23
40,Electronics,142.05
41,Toys,404.07
42,Toys,375.39
43,Clothing,96.34
44,Toys,108.63
45,Toys,188.38
46,Toys,244.84
47,Toys,311.04
48,Books,187.61
49,Books,233.95
50,Clothing,375.0
51,Electronics,23.16
52,Toys,129.96
53,Electronics,358.11
54,Electronics,448.13
55,Clothing,258.28
56,Toys,268.4
57,Toys,58.05
58,Home,226.47
59,Electronics,268.65
60,Electronics,125.02
61,Books,138.28
62,Home,191.76
63,Books,14.94
64,Books,164.43
65,Books,109.67
66,Clothing,167.11
67,Clothing,64.28
68,Books,445.81
69,Home,298.83
70,Electronics,341.16
71,Home,395.64
72,Toys,251.73
73,Clothing,48.03
74,Electronics,270.87
75,Electronics,295.49
76,Toys,373.99
77,Toys,218.67
78,Books,68.15
79,Clothing,145.47
80,Clothing,184.73
81,Home,324.73
82,Books,287.54
83,Books,181.27
84,Books,493.33
85,Books,304.86
86,Clothing,122.43
87,Clothing,55.38
88,Books,80.67
89,Home,126.75
90,Electronics,84.54
91,Electronics,97.35
92,Home,146.12
93,Books,90.82
94,Clothing,448.9
95,Electronics,44.72
96,Toys,264.63
97,Toys,208.15
98,Home,491.28
99,Books,60.46
100,Electronics,201.94
